date,site,transect,pea_aphids
6/1/2022,alpowa_creek,1A,39
6/7/2022,alpowa_creek,T1,103
6/7/2022,alpowa_creek,T2,
6/7/2022,alpowa_creek,T3,
6/14/2022,alpowa_creek,T1,119
6/14/2022,alpowa_creek,T2,60
6/23/2022,alpowa_creek,T1,481
6/23/2022,alpowa_creek,T2,
6/28/2022,alpowa_creek,T1,36
6/28/2022,alpowa_creek,T2,343
7/5/2022,alpowa_creek,T1,129
7/5/2022,alpowa_creek,T2,89
7/12/2022,alpowa_creek,T1,0
7/12/2022,alpowa_creek,T2,0
7/19/2022,alpowa_creek,T1,
7/19/2022,alpowa_creek,T2,
7/25/2022,alpowa_creek,T1,0
7/25/2022,alpowa_creek,T2,0
6/3/2022,blyton_landing,1A,21
6/9/2022,blyton_landing,T1,33
6/9/2022,blyton_landing,T2,52
6/16/2022,blyton_landing,T1,158
6/16/2022,blyton_landing,T2,241
6/23/2022,blyton_landing,T1,439
6/23/2022,blyton_landing,T2,1245
6/30/2022,blyton_landing,T1,1472
6/30/2022,blyton_landing,T2,
7/7/2022,blyton_landing,T1,2851
7/7/2022,blyton_landing,T2,142
7/14/2022,blyton_landing,T1,16
7/14/2022,blyton_landing,T2,0
7/21/2022,blyton_landing,T1,0
7/21/2022,blyton_landing,T2,0
7/28/2022,blyton_landing,T1,0
7/28/2022,blyton_landing,T2,0
6/3/2022,boyer_park,1A,41
6/9/2022,boyer_park,T1,4
6/9/2022,boyer_park,T2,4
6/16/2022,boyer_park,T1,5
6/16/2022,boyer_park,T2,29
6/23/2022,boyer_park,T1,54
6/23/2022,boyer_park,T2,104
6/30/2022,boyer_park,T1,261
6/30/2022,boyer_park,T2,317
7/7/2022,boyer_park,T1,512
7/7/2022,boyer_park,T2,
7/14/2022,boyer_park,T1,0
7/14/2022,boyer_park,T2,4
7/21/2022,boyer_park,T1,0
7/21/2022,boyer_park,T2,0
7/28/2022,boyer_park,T1,0
7/28/2022,boyer_park,T2,0
6/7/2022,evans_pond,T1,205
6/7/2022,evans_pond,T2,4
6/7/2022,evans_pond,T3,92
6/14/2022,evans_pond,T1,306
6/14/2022,evans_pond,T2,113
6/21/2022,evans_pond,T1,1450
6/21/2022,evans_pond,T2,1203
6/28/2022,evans_pond,T1,2
6/28/2022,evans_pond,T2,4
7/5/2022,evans_pond,T1,153
7/5/2022,evans_pond,T2,246
7/12/2022,evans_pond,T1,13
7/12/2022,evans_pond,T2,25
7/19/2022,evans_pond,T1,
7/19/2022,evans_pond,T2,
7/25/2022,evans_pond,T1,0
7/25/2022,evans_pond,T2,0
6/10/2022,grimes_road,T1,96
6/10/2022,grimes_road,T2,53
6/20/2022,grimes_road,T1,
6/20/2022,grimes_road,T2,
6/24/2022,grimes_road,T1,1317
6/24/2022,grimes_road,T2,1323
7/1/2022,grimes_road,T1,4221
7/1/2022,grimes_road,T2,
7/7/2022,grimes_road,T1,3030
7/7/2022,grimes_road,T2,4565
7/15/2022,grimes_road,T1,1912
7/15/2022,grimes_road,T2,3177
7/22/2022,grimes_road,T1,25
7/22/2022,grimes_road,T2,75
7/26/2022,grimes_road,T2,0
6/1/2022,hells_gate,1A,6
6/7/2022,hells_gate,T1,15
6/7/2022,hells_gate,T2,14
6/7/2022,hells_gate,T3,32
6/14/2022,hells_gate,T1,27
6/14/2022,hells_gate,T2,66
6/21/2022,hells_gate,T1,299
6/21/2022,hells_gate,T2,593
6/28/2022,hells_gate,T1,
6/28/2022,hells_gate,T2,3191
7/5/2022,hells_gate,T1,6
7/5/2022,hells_gate,T2,25
7/12/2022,hells_gate,T1,0
7/12/2022,hells_gate,T2,0
7/19/2022,hells_gate,T1,
7/19/2022,hells_gate,T2,
7/26/2022,hells_gate,T1,0
7/26/2022,hells_gate,T2,0
6/1/2022,NJ_canyon,1A,6
6/7/2022,NJ_canyon,T1,164
6/7/2022,NJ_canyon,T2,199
6/7/2022,NJ_canyon,T3,
6/14/2022,NJ_canyon,T1,218
6/14/2022,NJ_canyon,T2,441
6/23/2022,NJ_canyon,T1,1336
6/23/2022,NJ_canyon,T2,
6/28/2022,NJ_canyon,T1,806
6/28/2022,NJ_canyon,T2,935
7/5/2022,NJ_canyon,T1,14
7/5/2022,NJ_canyon,T2,48
7/12/2022,NJ_canyon,T1,0
7/12/2022,NJ_canyon,T2,0
7/19/2022,NJ_canyon,T1,
7/19/2022,NJ_canyon,T2,
7/26/2022,NJ_canyon,T1,0
7/26/2022,NJ_canyon,T2,0
6/1/2022,NJ_landing,1A,18
6/7/2022,NJ_landing,T1,149
6/7/2022,NJ_landing,T2,144
6/7/2022,NJ_landing,T3,
6/14/2022,NJ_landing,T1,421
6/14/2022,NJ_landing,T2,372
6/23/2022,NJ_landing,T1,
6/23/2022,NJ_landing,T2,506
6/28/2022,NJ_landing,T1,144
6/28/2022,NJ_landing,T2,6
7/5/2022,NJ_landing,T1,170
7/5/2022,NJ_landing,T2,214
7/12/2022,NJ_landing,T1,10
7/12/2022,NJ_landing,T2,32
7/19/2022,NJ_landing,T1,
7/19/2022,NJ_landing,T2,
7/26/2022,NJ_landing,T1,0
7/26/2022,NJ_landing,T2,0
6/2/2022,rose_creek,1A,23
6/9/2022,rose_creek,T1,5
6/9/2022,rose_creek,T2,25
6/16/2022,rose_creek,T1,45
6/16/2022,rose_creek,T2,32
6/24/2022,rose_creek,T1,538
6/24/2022,rose_creek,T2,416
6/30/2022,rose_creek,T1,1947
6/30/2022,rose_creek,T2,1098
7/7/2022,rose_creek,T1,2170
7/7/2022,rose_creek,T2,
7/14/2022,rose_creek,T1,0
7/14/2022,rose_creek,T2,880
7/21/2022,rose_creek,T1,0
7/21/2022,rose_creek,T2,0
7/29/2022,rose_creek,T1,0
7/29/2022,rose_creek,T2,0
8/4/2022,rose_creek,T1,0
8/4/2022,rose_creek,T2,0
6/10/2022,sunshine_road,T1,72
6/10/2022,sunshine_road,T2,41
6/20/2022,sunshine_road,T1,
6/20/2022,sunshine_road,T2,565
6/24/2022,sunshine_road,T1,805
6/24/2022,sunshine_road,T2,503
7/1/2022,sunshine_road,T1,3227
7/1/2022,sunshine_road,T2,2886
7/7/2022,sunshine_road,T1,
7/7/2022,sunshine_road,T2,6509
7/15/2022,sunshine_road,T1,258
7/15/2022,sunshine_road,T2,
7/22/2022,sunshine_road,T1,
7/22/2022,sunshine_road,T2,18
7/29/2022,sunshine_road,T1,0
7/29/2022,sunshine_road,T2,0
8/4/2022,sunshine_road,T1,0
8/4/2022,sunshine_road,T2,0
6/3/2022,wawawai_park,1A,90
6/9/2022,wawawai_park,T1,104
6/9/2022,wawawai_park,T2,121
6/16/2022,wawawai_park,T1,331
6/16/2022,wawawai_park,T2,597
6/23/2022,wawawai_park,T1,971
6/23/2022,wawawai_park,T2,668
6/30/2022,wawawai_park,T1,524
6/30/2022,wawawai_park,T2,710
7/7/2022,wawawai_park,T1,30
7/7/2022,wawawai_park,T2,21
7/14/2022,wawawai_park,T1,bag empty
7/14/2022,wawawai_park,T2,0
7/21/2022,wawawai_park,T1,0
7/21/2022,wawawai_park,T2,0
7/28/2022,wawawai_park,T1,0
7/28/2022,wawawai_park,T2,0
